username,repo_name,stars,repo_url
public-apis,public-apis,328000,https://github.com/public-apis/public-apis
neovim,neovim,86300,https://github.com/neovim/neovim
fastapi,fastapi,81100,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,68300,https://github.com/hoppscotch/hoppscotch
strapi,strapi,65099,https://github.com/strapi/strapi
ocornut,imgui,63300,https://github.com/ocornut/imgui
meilisearch,meilisearch,49300,https://github.com/meilisearch/meilisearch
QuivrHQ,quivr,37300,https://github.com/QuivrHQ/quivr
slatedocs,slate,36100,https://github.com/slatedocs/slate
trpc,trpc,36000,https://github.com/trpc/trpc
Kong,insomnia,35700,https://github.com/Kong/insomnia
httpie,cli,34800,https://github.com/httpie/cli
ccxt,ccxt,34600,https://github.com/ccxt/ccxt
hasura,graphql-engine,31400,https://github.com/hasura/graphql-engine
mudler,LocalAI,30500,https://github.com/mudler/LocalAI
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
directus,directus,29100,https://github.com/directus/directus
encode,django-rest-framework,28800,https://github.com/encode/django-rest-framework
YMFE,yapi,27500,https://github.com/YMFE/yapi
littlecodersh,ItChat,25900,https://github.com/littlecodersh/ItChat
